statefips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AL,89.783,90.011,90.559,90.324,90.175,89.741,90.609,90.065,87.378,88.303,87.569,88.062,88.021,89.097,88.823,88.823
AK,103.099,103.274,102.548,102.052,102.386,103.287,104.073,104.833,104.565,103.041,101.339,104.907,102.101,103.297,102.359,102.359
AZ,100.558,99.083,98.05,98.441,97.944,97.865,98.622,97.915,97.381,97.779,99.203,96.6,99.992,100.742,100.677,100.677
AR,88.561,89.383,89.394,89.493,89.395,89.013,89.298,88.561,87.144,87.744,88.165,88.902,86.913,86.81,86.937,86.937
CA,109.703,109.503,109.666,109.667,109.926,110.685,109.956,110.998,111.882,111.134,111.944,111.918,112.591,112.195,110.72,110.72
CO,100.59,103.384,103.138,103.099,103.068,103.048,102.716,102.946,100.29,102.491,103.774,102.765,102.26,101.856,103.052,103.052
CT,106.999,107.834,107.595,107.731,107.015,107.536,107.477,107.228,104.015,103.915,105.119,102.886,106.362,104.201,103.61,103.61
DE,101.545,100.441,99.566,98.624,99.708,97.913,98.478,98.499,99.252,98.824,96.791,97.425,98.007,98.759,99.808,99.808
DC,114.226,114.058,111.644,113.521,114.242,113.321,112.415,110.146,111.317,109.228,110.881,111.572,112.594,110.713,109.901,109.901
FL,100.392,100.846,101.072,100.742,100.894,101.29,101.087,100.871,100.318,99.645,100.604,101.389,102.284,103.636,103.414,103.414
GA,94.574,93.666,95.298,94.868,94.962,94.717,94.991,95.275,94.832,94.392,94.478,95.713,95.678,96.494,96.293,96.293
HI,109.56,109.94,108.393,112.319,110.596,111.504,109.901,110.466,110.929,111.767,113.279,112.564,111.148,109.703,109.951,109.951
ID,93.2,94.115,93.477,93.681,93.691,94.281,92.998,94.518,91.736,92.437,91.023,91.563,91.802,92.236,95.494,95.494
IL,101.778,101.971,100.947,100.175,99.697,98.903,99.498,100.254,100.416,99.453,100.315,101.321,101.205,98.752,99.958,99.958
IN,93.022,92.38,92.751,92.881,92.638,91.415,91.346,90.875,92.802,92.829,91.763,92.579,91.875,92.097,93.329,93.329
IA,91.139,89.832,90.793,90.853,90.97,89.528,89.439,89.213,91.797,91.804,90.61,89.77,88.351,88.769,87.762,87.762
KS,92.991,92.772,93.303,92.606,93.138,92.814,92.059,91.555,92.436,92.734,92.251,91.27,89.609,89.908,90.068,90.068
KY,90.433,90.458,90.687,90.892,91.063,90.733,90.676,89.985,89.071,89.597,89.078,89.246,89.402,89.89,90.159,90.159
LA,92.198,92.729,92.908,92.927,93.401,92.834,93.6,92.364,90.755,91.159,91.141,91.373,90.489,88.7,88.207,88.207
ME,97.509,96.111,96.955,98.329,92.521,95.879,97.216,97.559,97.649,95.607,97.888,97.343,100.746,97.964,97.05,97.05
MD,108.418,109.342,107.418,108.527,107.879,107.913,107.222,106.75,106.311,105.087,106.396,106.099,104.89,104.602,104.959,104.959
MA,104.772,104.747,104.488,103.298,104.533,105.086,108.161,107.406,107.422,107.151,109.101,106.698,109.431,107.675,105.757,105.757
MI,96.187,95.188,94.979,95.192,95.473,93.713,93.637,92.727,94.518,95.359,94.431,94.281,93.589,94.296,96.217,96.217
MN,97.587,97.237,97.385,97.458,98.307,97.678,97.192,96.739,99.599,98.759,97.766,98.396,97.457,98.302,98.621,98.621
MS,88.305,88.892,88.571,88.902,88.96,88.264,88.489,87.737,86.157,86.527,85.583,86.222,87.336,86.792,86.953,86.953
MO,93.105,92.499,92.436,92.807,93.351,92.262,91.676,91.735,91.806,92.52,92.162,92.012,90.991,91.104,90.817,90.817
MT,92.445,94.232,93.187,92.88,95.152,94.974,93.862,94.202,92.401,94.24,91.972,91.328,90.179,91.014,94.645,94.645
NE,92.061,91.377,92.284,91.812,91.757,91.166,90.767,89.807,91.838,92.531,92.808,91.956,89.844,90.288,90.103,90.103
NV,100.78,102.211,101.586,99.84,99.184,98.592,97.191,99.854,96.226,98.838,97.191,95.356,96.339,97.861,99.979,99.979
NH,104.026,103.462,102.921,102.79,102.091,103.98,105.096,105.78,103.549,104.001,105.269,102.568,107.847,105.393,104.165,104.165
NJ,108.796,109.221,109.274,108.83,109.032,108.973,109.059,109.298,111.019,111.188,110.722,109.157,108.759,108.941,108.805,108.805
NM,94.51,97.078,96.47,95.574,95.471,95.396,94.46,95.721,91.656,92.969,91.805,89.735,90.929,90.981,92.212,92.212
NY,109.744,110.838,109.623,109.724,108.853,109.583,110.086,109.988,109.507,109.426,110.13,109.564,107.557,107.842,107.921,107.921
NC,92.899,93.572,93.509,93.732,93.826,93.588,93.801,93.025,92.894,91.866,91.345,93.734,94.013,94.399,94.326,94.326
ND,89.083,89.549,91.997,92.225,92.45,91.063,91.588,88.664,91.168,93.191,91.816,90.962,88.703,88.174,88.959,88.959
OH,93.105,92.191,93.014,93.26,93.019,92.218,92.333,91.931,92.985,93.289,91.935,92.223,91.506,91.903,92.774,92.774
OK,90.562,90.935,91.232,91.527,91.825,91.369,91.514,90.881,89.646,89.332,89.63,89.883,88.807,88.68,87.843,87.843
OR,99.43,99.789,101.125,100.175,99.745,101.119,99.593,101.474,104.657,103.811,103.243,103.15,106.612,104.812,103.361,103.361
PA,98.94,98.437,98.003,97.836,97.207,98.147,97.767,99.102,98.151,97.979,97.717,96.145,96.256,97.4,97.572,97.572
RI,101.802,101.111,99.842,101.446,100.26,102.014,101.59,102.403,102.033,102.39,101.771,102.19,104.453,102.065,102.28,102.28
SC,92.664,93.183,93.392,93.299,93.231,93.32,93.636,92.84,92.244,91.49,90.873,93.61,93.342,93.477,93.749,93.749
SD,88.807,87.272,90.336,90.181,89.357,87.799,87.282,87.223,91.206,91.818,91.32,90.105,87.851,88.149,88.586,88.586
TN,92.356,92.89,93.405,92.994,92.785,92.812,93.81,93.04,89.649,91.262,90.502,90.58,91.8,92.094,91.87,91.87
TX,97.665,96.986,97.714,98.134,98.437,98.291,98.078,97.435,97.805,98.507,98.759,98.402,97.411,97.14,97.057,97.057
UT,97.291,99.813,99.412,98.587,97.937,97.636,97.091,98.721,96.018,97.246,95.259,94.481,94.59,95.716,98.864,98.864
VT,99.379,99.109,99.981,100.424,97.937,100.029,98.224,100.337,100.204,99.604,102.132,98.694,101.033,97.142,97.958,97.958
VA,103.724,103.425,102.494,103.523,103.454,103.57,102.777,101.222,101.957,100.053,101.003,102.3,102.026,101.331,101.104,101.104
WA,102.741,103.244,102.541,102.482,103.92,104.4,105.56,107.035,107.124,107.971,107.859,108.804,110.035,108.37,107.013,107.013
WV,88.909,89.295,89.312,90.246,89.864,90.557,89.805,88.966,89.411,88.518,87.334,90.981,89.157,89.633,89.497,89.497
WI,94.723,93.742,94.312,93.89,93.799,93.287,93.173,93.531,94.028,94.476,92.666,93.309,92.401,93.22,94.095,94.095
WY,95.473,97.618,96.265,97.347,97.404,96.941,97.747,97.146,92.372,94.107,91.836,91.44,91.767,91.551,92.691,92.691
